lag_days,n_records,total_designbuilder_kwh,total_model_kwh,total_difference_kwh,overall_percentage_error_pct,NMBE_pct,MAPE_pct,WMAPE_pct,CVRMSE_pct,MAE_kwh,RMSE_kwh,mean_daily_percentage_error_pct
7,1818.0,8059691.202265,8134194.121580847,74502.91931584664,0.9243892532124459,0.924897997985816,73.5448649072265,68.16788457503931,81.29796349288789,3022.0687546009917,3604.1610622975227,10.933906428450998
6,1819.0,8063178.291615,8145507.037430539,82328.7458155388,1.0210458312840918,1.0216074626544376,73.78757956232585,68.36538805693392,81.51391857445192,3030.469009777378,3613.310933007111,11.145861076018928
5,1820.0,8068101.138185,8156868.628025269,88767.48984026909,1.100227777514428,1.1008326306081697,74.09352591219623,68.61660091871235,81.73206200083096,3041.7894284101594,3623.2007827203915,11.352903774008679
4,1821.0,8074653.15804,8168310.520474058,93657.36243405752,1.1598933180281819,1.1605306220490843,74.29656710542207,68.78883673770636,81.94816343941754,3050.2251389457365,3633.734193913624,11.56183844131785
3,1822.0,8080382.184696,8179626.381025532,99244.19632953219,1.2282116620362054,1.2288861330203071,74.48901752378765,68.95840387362283,82.19690811399562,3058.234128131139,3645.348144683997,11.798096342257363
2,1823.0,8083255.12699,8190935.567437929,107680.44044792932,1.332142048670271,1.3328731913973109,74.76085176803457,69.12934309600642,82.53560970836166,3065.2228031061145,3659.6620424265498,12.139214988369309
1,1824.0,8087045.757952999,8202181.724247187,115135.96629418805,1.4237086043560532,1.4244895745175077,75.01145258824089,69.3839778184016,82.82880507728265,3076.268659463869,3672.3702671960223,12.381451759806266
0,1825.0,8091617.112921,8212633.06072144,121015.94780043978,1.4955718506155826,1.4963917913231588,75.25362776308101,69.62874414463519,83.0790247441785,3087.1733571064547,3683.5268950399013,12.604877538510165
-1,1824.0,8084812.032915,8201712.768072549,116900.73515754938,1.4459301549822243,1.4467233146942058,75.27251558661719,69.67290536306719,83.20125019968427,3088.225568242728,3687.864412105147,12.669098513974863
-2,1823.0,8079753.799411001,8190095.984695124,110342.18528412376,1.36566271724972,1.366412257709255,75.23992162966164,69.64442685149693,83.29905955029776,3086.7242043948645,3691.9138392149284,12.6980825003461
-3,1822.0,8075907.271271001,8178737.25052051,102829.97924950905,1.273293213944066,1.2739924414091712,75.18119182816218,69.5473000798273,83.40807704854946,3082.642955060063,3697.0136987876645,12.761016461668245
-4,1821.0,8072246.988396,8167533.082482674,95286.09408667404,1.1804159885549774,1.181064568768474,75.21298559106062,69.52082542540607,83.54346197844656,3081.7642705713247,3703.3688048088466,12.825121031917847
-5,1820.0,8068491.242560001,8156552.802841414,88061.56028141268,1.0914253685608781,1.0920253825073345,75.11902276364856,69.46297325190801,83.67258031944637,3079.458194314282,3709.403744779403,12.880094532062659
-6,1819.0,8064277.530895,8145553.003686126,81275.472791126,1.0078456809026237,1.0084000514641906,75.00096231999579,69.39111105830499,83.79630520332456,3076.356117379486,3714.989891276471,12.930648628517801
-7,1818.0,8059603.055189,8134510.790261526,74907.73507252522,0.9294221385294837,0.9299336531901998,74.90085490028774,69.33524102720733,83.89486579045519,3073.7872410074033,3719.2481663334643,12.963225428478186
