month,db,physics,final,physics_bias_pct,final_bias_pct
1,680932.09461,1439350.1254171755,675367.456580701,111.37939257240548,-0.8172089512811249
2,681337.604381,678488.5524140561,674614.5961267551,-0.4181556908975071,-0.9867367089407642
3,641199.872696,249864.85178126636,645613.6475697996,-61.03167476770069,0.6883617826125408
4,527535.46191,279565.28756542737,533625.0118140407,-47.00540385413511,1.1543394413700412
5,617434.745041,399267.53392738977,622585.5466731292,-35.334456453227794,0.8342260738480479
6,694074.56864,512501.1350118271,695110.6959353895,-26.160508082576168,0.14928184120328336
7,811573.2985,505117.4202734533,809122.768503976,-37.7607147491123,-0.3019480804202405
8,906819.35384,373597.4665370564,897776.2265695126,-58.80133513306397,-0.9972358036022847
9,761939.31906,197846.76917443442,760444.0978872328,-74.03378927622258,-0.19623887826288725
10,619191.737542,567800.3691250377,623433.7943815546,-8.299750352123592,0.685095840650947
11,528036.993695,1300701.3157056975,533667.1331845345,146.3276874985386,1.0662395924454064
12,621542.063006,1708532.2337886184,616732.5987123718,174.8860190612916,-0.7737954645206055
